Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-01,18:00,24.7,1.5,181.8,1009.0,23.1,100.0,1.7,30.0,90.8,Nublado - Tormenta Ligera
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-01,19:00,23.6,1.4,160.0,1010.1,22.6,98.5,1.2,0.0,94.1,Nublado - Lluvia
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-01,20:00,23.3,1.3,151.8,1010.9,22.5,100.0,0.0,0.0,95.1,Nublado
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-01,21:00,23.1,1.2,173.3,1011.6,22.4,100.0,0.0,0.0,95.9,Nublado
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-01,22:00,22.9,1.4,163.3,1012.0,22.3,100.0,0.9,30.0,96.8,Nublado - Tormenta Ligera
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-01,23:00,22.7,1.4,163.3,1012.0,22.3,100.0,1.5,10.0,97.4,Nublado - Lluvia
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-02,00:00,22.6,1.3,170.3,1011.4,22.3,100.0,2.0,10.0,97.9,Nublado - Lluvia
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-02,01:00,22.5,1.3,180.0,1010.8,22.2,100.0,2.5,10.0,98.0,Nublado - Lluvia
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-02,02:00,22.8,1.4,180.0,1011.0,22.7,100.0,2.0,10.0,-,Nublado - Lluvia
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-02,03:00,22.7,1.5,180.0,1010.3,22.6,100.0,1.4,10.0,-,Nublado - Lluvia
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-02,04:00,22.7,1.4,180.0,1010.4,22.7,100.0,0.9,0.0,-,Nublado - Lluvia
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-02,05:00,22.6,1.3,180.3,1009.8,22.6,100.0,0.9,0.0,-,Nublado - Lluvia
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-02,06:00,22.4,1.1,180.3,1010.2,22.4,100.0,0.8,0.0,-,Nublado - Lluvia
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-02,07:00,22.9,1.0,180.0,1010.9,22.5,100.0,0.5,0.0,-,Nublado - Lluvia
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-02,08:00,23.6,1.7,191.8,1011.1,22.7,100.0,0.0,0.0,94.7,Nublado
05172000,7.666301,-76.681215,,ANTIOQUIA,2022-08-02,09:00,25.2,2.0,210.0,1011.4,23.0,100.0,0.0,0.0,88.1,Nublado
